Rev 0,Rev 1,Rev 2,Rev 3,Rev 4,Rev 5
963,836,9,15,02:22.5,142467
963,836,10,17,02:17.1,137112
963,836,11,17,01:44.1,104058
963,836,12,17,01:43.1,103085
963,836,13,16,01:43.0,102988
963,836,14,16,01:43.2,103222
963,836,15,16,01:42.9,102859
963,836,16,16,01:43.1,103113
963,836,17,16,01:42.8,102807
963,836,18,16,01:43.3,103267
963,836,19,16,01:43.0,103030
963,836,20,16,01:43.1,103127
963,836,21,16,01:42.9,102938
963,836,22,16,01:43.3,103314
963,836,23,16,01:43.2,103150
963,836,24,16,01:43.3,103306
963,836,25,16,01:43.1,103070
963,836,26,16,01:43.1,103138
963,836,27,16,01:43.0,102958
963,836,28,16,01:43.1,103094
963,836,29,16,01:43.1,103136
963,836,30,16,01:46.9,106865
963,836,31,18,02:04.5,124532
963,836,32,16,01:41.8,101815
963,836,33,16,01:42.0,102048
963,836,34,17,01:42.8,102771
963,836,35,17,01:42.0,102000
963,836,36,17,01:41.8,101790
963,836,37,17,01:41.7,101703
963,836,38,17,01:41.9,101901
963,836,39,17,01:50.8,110806
963,836,40,17,02:19.9,139870
963,836,41,16,02:22.8,142771
963,836,42,17,02:02.2,122157
963,836,43,17,01:40.3,100340
963,836,44,17,01:40.3,100321
963,836,45,17,01:40.5,100461
963,836,46,16,01:42.7,102708
963,836,47,15,01:40.2,100183
963,836,48,15,01:40.2,100218
963,836,49,15,01:40.5,100489
963,836,50,15,01:39.9,99937
963,836,51,15,01:42.7,102742
963,836,52,15,01:41.8,101796
963,836,53,15,01:39.8,99828
963,836,54,15,01:42.2,102184
963,836,55,15,01:39.7,99653
963,831,1,16,02:24.1,144059
963,831,2,16,02:06.6,126643
963,831,3,17,01:44.7,104676
963,831,4,17,01:44.0,103969
963,831,5,17,01:43.7,103694
963,831,6,17,01:43.9,103874
963,831,7,17,01:43.3,103319
963,831,8,16,01:43.6,103649
963,831,9,16,02:20.1,140138
963,831,10,11,02:02.4,122439
963,831,11,14,01:44.5,104487
963,831,12,15,01:44.6,104559
963,831,13,14,01:42.9,102923
963,831,14,14,01:43.3,103258
963,831,15,14,01:43.7,103684
963,831,16,14,01:43.7,103728
963,831,17,14,01:43.5,103450
963,831,18,14,01:43.3,103326
963,831,19,14,01:43.2,103191
963,831,20,14,01:43.1,103085
963,831,21,13,01:42.5,102471
963,831,22,12,01:42.8,102793
963,831,23,14,01:44.1,104142
963,831,24,14,01:43.5,103473
963,831,25,14,01:42.6,102648
963,831,26,14,01:42.6,102647
963,831,27,14,01:42.9,102858
963,831,28,14,01:43.9,103852
963,831,29,14,01:42.9,102914
963,831,30,14,01:42.5,102504
963,831,31,14,01:42.5,102477
963,831,32,13,01:45.8,105787
963,831,33,14,02:00.7,120681
963,831,34,14,01:41.3,101272
963,831,35,14,01:41.6,101550
963,831,36,14,01:43.4,103427
963,831,37,14,01:41.0,100974
963,831,38,14,01:41.7,101717
963,831,39,14,01:41.6,101636
963,831,40,14,02:21.8,141811
963,831,41,13,02:19.1,139111
963,831,42,13,01:49.7,109696
963,831,43,13,01:40.5,100490
963,831,44,13,01:41.3,101299
963,831,45,13,01:42.1,102053
963,831,46,15,01:51.4,111422
963,3,1,17,02:26.0,146006
963,3,2,17,02:05.1,125058
963,3,3,16,01:43.1,103108
963,3,4,14,01:42.4,102395
963,3,5,14,01:42.1,102148
963,3,6,12,01:42.3,102313
963,3,7,12,01:40.7,100674
963,3,8,11,01:41.7,101725
963,3,9,11,02:20.7,140684
963,3,10,14,02:13.5,133508
963,3,11,11,01:41.0,101004
963,3,12,10,01:41.0,101041
963,3,13,9,01:40.4,100419
963,3,14,9,01:41.0,101041
963,3,15,8,01:41.2,101223
963,3,16,8,01:40.8,100844
963,3,17,8,01:41.4,101370
963,3,18,6,01:40.1,100109
963,3,19,6,01:39.9,99937
963,3,20,6,01:40.5,100476
963,3,21,5,01:40.8,100781
963,3,22,5,01:40.6,100568
963,3,23,5,01:40.3,100315
963,3,24,5,01:40.4,100446
963,3,25,5,01:40.3,100272
963,3,26,5,01:40.5,100491
963,3,27,5,01:40.1,100117
963,3,28,5,01:40.3,100270
963,3,29,5,01:40.4,100384
963,3,30,5,01:40.3,100259
963,3,31,5,01:43.9,103884
963,3,32,5,01:57.8,117788
963,3,33,5,01:38.8,98781
963,3,34,5,01:38.9,98872
963,3,35,5,01:39.0,98969
963,3,36,5,01:38.8,98757
963,3,37,5,01:39.2,99186
963,3,38,4,01:39.4,99426
963,3,39,4,01:39.5,99546
963,3,40,4,01:50.0,109953
963,3,41,3,02:18.2,138175
963,3,42,3,02:31.9,151857
963,3,43,3,01:37.0,96999
963,3,44,3,01:36.4,96424
963,3,45,3,01:36.9,96899
963,3,46,3,01:37.7,97667
963,3,47,3,01:37.4,97428
963,3,48,3,01:37.9,97918
963,3,49,3,01:37.0,97047
963,3,50,3,01:37.2,97208
963,3,51,3,01:36.9,96914
963,3,52,3,01:37.6,97589
963,3,53,3,01:38.2,98215
963,3,54,3,01:37.9,97881
963,3,55,3,01:37.9,97867
963,3,56,3,01:38.1,98056
963,826,1,18,02:27.1,147144
963,826,2,19,02:20.6,140642
963,826,3,19,01:42.7,102663
963,826,4,19,01:43.1,103142
