Rev 0,Rev 1,Rev 2,Rev 3,Rev 4,Rev 5
67,14,26,13,01:25.8,85802
67,14,27,13,01:25.3,85338
67,14,28,13,01:25.4,85395
67,14,29,12,01:26.2,86191
67,14,30,11,01:25.4,85439
67,14,31,10,01:25.4,85375
67,14,32,12,01:28.2,88219
67,14,33,13,01:49.2,109156
67,14,34,13,01:25.1,85128
67,14,35,13,01:25.4,85351
67,14,36,13,01:26.4,86417
67,14,37,13,01:25.5,85519
67,14,38,13,01:26.4,86385
67,14,39,13,01:25.3,85299
67,14,40,13,01:25.3,85266
67,14,41,13,01:25.2,85232
67,14,42,13,01:25.4,85392
67,14,43,13,01:26.1,86130
67,14,44,12,01:25.6,85576
67,14,45,12,01:26.3,86304
67,14,46,12,01:26.8,86831
67,14,47,12,01:26.0,86035
67,14,48,12,01:26.6,86612
67,14,49,12,01:25.4,85428
67,14,50,12,01:25.1,85139
67,14,51,12,01:25.0,84984
67,14,52,12,01:25.6,85552
67,32,1,18,01:37.8,97796
67,32,2,18,01:28.6,88623
67,32,3,18,01:27.5,87487
67,32,4,18,01:27.5,87486
67,32,5,18,01:27.0,86993
67,32,6,18,01:26.8,86800
67,32,7,18,01:26.3,86273
67,32,8,18,01:25.8,85825
67,32,9,17,01:26.1,86090
67,32,10,17,01:25.8,85782
67,32,11,17,01:25.9,85866
67,32,12,17,01:25.9,85916
67,32,13,17,01:25.6,85632
67,32,14,17,01:26.1,86131
67,32,15,17,01:26.3,86342
67,32,16,17,01:25.3,85328
67,32,17,17,01:25.6,85564
67,32,18,17,01:26.0,86010
67,32,19,17,01:25.4,85440
67,32,20,17,01:25.3,85343
67,32,21,16,01:25.7,85663
67,32,22,16,01:25.6,85594
67,32,23,16,01:25.1,85124
67,32,24,16,01:25.1,85145
67,32,25,16,01:25.1,85065
67,32,26,16,01:25.5,85468
67,32,27,16,01:25.6,85620
67,32,28,15,01:24.9,84903
67,32,29,14,01:25.6,85556
67,32,30,13,01:26.6,86633
67,32,31,12,01:24.9,84914
67,32,32,11,01:24.9,84851
67,32,33,11,01:25.0,84999
67,32,34,11,01:25.1,85149
67,32,35,11,01:28.9,88871
67,32,36,12,01:47.7,107744
67,32,37,12,01:24.6,84571
67,32,38,12,01:24.8,84830
67,32,39,12,01:24.8,84767
67,32,40,12,01:24.7,84734
67,32,41,12,01:25.8,85784
67,32,42,12,01:24.6,84646
67,32,43,12,01:25.9,85864
67,32,44,11,01:29.0,89018
67,32,45,11,01:25.3,85336
67,32,46,11,01:25.2,85157
67,32,47,11,01:25.2,85190
67,32,48,11,01:25.5,85479
67,32,49,11,01:25.4,85410
67,32,50,11,01:25.7,85730
67,32,51,11,01:25.7,85676
67,32,52,11,01:25.8,85758
67,2,1,6,01:32.4,92388
67,2,2,7,01:27.2,87180
67,2,3,7,01:25.3,85296
67,2,4,7,01:25.1,85076
67,2,5,7,01:24.7,84744
67,2,6,7,01:24.6,84617
67,2,7,7,01:24.4,84396
67,2,8,7,01:24.3,84264
67,2,9,7,01:24.1,84069
67,2,10,7,01:24.1,84050
67,2,11,7,01:24.0,83982
67,2,12,7,01:24.2,84159
67,2,13,7,01:23.9,83945
67,2,14,7,01:23.8,83847
67,2,15,7,01:23.6,83628
67,2,16,6,01:23.7,83730
67,2,17,6,01:23.7,83708
67,2,18,5,01:23.7,83750
67,2,19,4,01:23.7,83685
