Rev 0,Rev 1,Rev 2,Rev 3,Rev 4,Rev 5
67,2,20,2,01:23.3,83294
67,2,21,2,01:27.2,87236
67,2,22,8,01:47.7,107744
67,2,23,8,01:24.2,84213
67,2,24,8,01:24.2,84207
67,2,25,9,01:28.3,88304
67,2,26,11,01:36.1,96068
67,2,27,11,01:24.2,84197
67,2,28,11,01:24.4,84359
67,2,29,11,01:24.1,84071
67,2,30,10,01:24.1,84133
67,2,31,8,01:24.7,84664
67,2,32,8,01:24.9,84912
67,2,33,7,01:23.7,83714
67,2,34,7,01:23.6,83617
67,2,35,7,01:23.5,83461
67,2,36,7,01:23.4,83443
67,2,37,7,01:23.6,83647
67,2,38,7,01:23.4,83412
67,2,39,7,01:23.4,83372
67,2,40,6,01:26.8,86772
67,2,41,10,01:45.1,105104
67,2,42,10,01:24.2,84181
67,2,43,10,01:24.4,84387
67,2,44,9,01:25.0,85015
67,2,45,8,01:24.4,84415
67,2,46,8,01:24.1,84107
67,2,47,8,01:24.8,84841
67,2,48,8,01:24.2,84182
67,2,49,8,01:24.5,84532
67,2,50,8,01:24.2,84163
67,2,51,8,01:24.9,84926
67,2,52,8,01:24.0,83986
67,2,53,8,01:24.1,84091
67,9,1,3,01:29.7,89712
67,9,2,3,01:25.5,85499
67,9,3,3,01:25.0,84954
67,9,4,3,01:24.9,84873
67,9,5,3,01:24.4,84407
67,9,6,3,01:24.3,84289
67,9,7,3,01:24.1,84102
67,9,8,3,01:23.9,83865
67,9,9,3,01:24.1,84077
67,9,10,3,01:24.3,84258
67,9,11,3,01:24.3,84304
67,9,12,3,01:23.8,83763
67,9,13,3,01:23.8,83757
67,9,14,3,01:23.9,83887
67,9,15,3,01:23.7,83680
67,9,16,2,01:23.9,83906
67,9,17,2,01:23.7,83700
67,9,18,1,01:23.4,83446
67,9,19,1,01:23.7,83655
67,9,20,1,01:23.5,83525
67,9,21,1,01:23.1,83111
67,9,22,1,01:27.0,86960
67,9,23,4,01:47.6,107583
67,9,24,4,01:24.2,84219
67,9,25,4,01:24.2,84193
67,9,26,4,01:24.1,84100
67,9,27,3,01:24.9,84864
67,9,28,3,01:24.2,84200
67,9,29,3,01:24.1,84109
67,9,30,3,01:24.2,84164
67,9,31,3,01:23.9,83898
67,9,32,3,01:24.0,83999
67,9,33,3,01:24.0,84019
67,9,34,3,01:23.9,83928
67,9,35,3,01:23.8,83753
67,9,36,3,01:23.9,83875
67,9,37,3,01:23.9,83863
67,9,38,3,01:23.9,83928
67,9,39,3,01:24.5,84513
67,9,40,3,01:24.1,84085
67,9,41,3,01:27.3,87287
67,9,42,4,01:46.0,105959
67,9,43,4,01:23.6,83631
67,9,44,3,01:24.6,84635
67,9,45,3,01:24.4,84358
67,9,46,3,01:25.2,85198
67,9,47,3,01:24.5,84530
67,9,48,3,01:24.5,84488
67,9,49,3,01:24.5,84489
67,9,50,3,01:24.5,84465
67,9,51,3,01:24.6,84627
67,9,52,3,01:24.9,84860
67,9,53,3,01:24.8,84839
67,33,1,20,01:38.3,98338
67,33,2,19,01:29.0,89007
67,33,3,19,01:28.0,87968
67,33,4,20,01:27.9,87853
67,33,5,20,01:26.9,86851
67,33,6,20,01:26.9,86937
67,33,7,20,01:27.0,86989
67,33,8,20,01:26.1,86122
67,33,9,19,01:27.4,87354
67,33,10,19,01:26.1,86066
67,33,11,19,01:26.2,86207
67,33,12,19,01:25.8,85816
67,33,13,19,01:26.2,86172
67,33,14,19,01:25.9,85888
67,33,15,19,01:26.0,86012
67,33,16,19,01:26.3,86292
67,33,17,19,01:25.5,85501
67,33,18,19,01:25.7,85728
67,33,19,18,01:25.5,85467
67,33,20,18,01:25.8,85793
67,33,21,17,01:25.3,85348
67,33,22,17,01:25.2,85188
67,33,23,17,01:25.3,85311
67,33,24,17,01:25.3,85269
67,33,25,17,01:24.9,84905
67,33,26,17,01:25.2,85168
67,33,27,17,01:24.8,84822
67,33,28,17,01:28.9,88883
67,33,29,17,01:52.7,112682
67,33,30,17,01:26.2,86201
67,33,31,17,01:25.9,85934
67,33,32,17,01:26.0,86004
67,33,33,17,01:26.3,86331
67,33,34,17,01:26.7,86672
67,33,35,17,01:26.8,86828
67,33,36,17,01:28.7,88664
67,33,37,17,01:26.8,86842
67,33,38,17,01:27.0,87043
67,33,39,17,01:27.3,87323
67,33,40,17,01:31.6,91614
67,33,41,17,02:09.7,129727
67,33,42,17,01:30.1,90069
67,33,43,17,01:33.8,93807
67,33,44,18,02:07.9,127906
67,27,1,21,01:38.6,98583
67,27,2,20,01:30.2,90174
67,27,3,20,01:27.0,86956
67,27,4,19,01:26.7,86744
67,27,5,19,01:26.3,86265
67,27,6,19,01:27.1,87149
67,27,7,19,01:26.6,86629
67,27,8,19,01:25.8,85841
67,27,9,18,01:26.2,86244
67,27,10,18,01:26.0,85977
67,27,11,18,01:26.1,86113
67,27,12,18,01:25.8,85759
67,27,13,18,01:25.7,85711
67,27,14,18,01:25.9,85905
67,27,15,18,01:25.7,85744
67,27,16,18,01:25.7,85709
67,27,17,18,01:25.5,85494
67,27,18,18,01:25.7,85652
67,27,19,20,01:37.0,97026
67,27,20,20,02:24.5,144469
67,27,21,19,01:26.5,86522
67,27,22,19,01:26.5,86462
67,27,23,19,01:26.7,86684
67,27,24,19,01:26.7,86715
67,27,25,19,01:26.8,86843
67,27,26,19,01:27.3,87313
67,27,27,19,01:27.0,87022
67,27,28,19,01:27.8,87844
67,27,29,19,01:29.7,89742
67,27,30,19,01:26.8,86809
67,27,31,19,01:27.1,87100
67,27,32,19,01:28.9,88887
67,27,33,19,01:27.8,87812
67,27,34,19,01:27.7,87707
67,27,35,19,01:28.6,88642
67,27,36,19,01:31.4,91376
67,27,37,19,01:28.9,88935
67,27,38,19,01:30.9,90909
67,27,39,19,01:29.3,89286
67,27,40,19,01:33.8,93797
67,27,41,19,01:28.8,88773
67,27,42,19,01:27.3,87332
67,27,43,19,01:28.8,88805
67,27,44,17,01:32.4,92405
67,27,45,17,01:31.6,91550
67,27,46,17,01:29.5,89456
67,27,47,17,01:34.5,94517
67,27,48,17,01:29.5,89522
67,27,49,17,01:29.3,89314
67,27,50,17,01:28.1,88066
67,27,51,17,01:28.0,87957
67,24,1,16,01:36.9,96887
67,24,2,17,01:28.7,88742
67,24,3,17,01:27.8,87798
67,24,4,17,01:27.4,87376
67,24,5,17,01:26.9,86929
67,24,6,17,01:26.6,86625
67,24,7,17,01:26.0,86044
67,24,8,17,01:25.7,85717
67,24,9,16,01:26.2,86237
67,24,10,16,01:25.8,85849
67,24,11,16,01:26.3,86272
67,24,12,16,01:25.7,85656
67,24,13,16,01:25.7,85657
67,24,14,16,01:25.5,85500
67,24,15,15,01:25.8,85819
67,24,16,15,01:25.5,85488
67,24,17,15,01:25.4,85402
67,24,18,16,01:27.2,87176
67,24,19,16,01:25.6,85599
67,24,20,16,01:25.3,85335
67,24,21,15,01:25.8,85783
67,24,22,15,01:25.4,85371
67,24,23,15,01:25.0,84993
67,24,24,15,01:25.2,85188
67,24,25,15,01:25.1,85059
67,24,26,15,01:25.3,85341
67,24,27,15,01:25.2,85237
67,24,28,14,01:25.5,85506
67,24,29,15,01:26.3,86316
67,24,30,14,01:30.3,90312
67,24,31,16,01:50.1,110140
67,24,32,16,01:26.0,86001
67,24,33,16,01:25.9,85912
67,24,34,16,01:25.4,85443
67,24,35,16,01:25.3,85318
67,24,36,16,01:25.3,85311
67,24,37,16,01:25.4,85447
67,24,38,16,01:25.5,85532
67,24,39,16,01:25.6,85593
67,24,40,16,01:26.3,86340
67,24,41,16,01:25.3,85250
67,24,42,16,01:26.2,86152
67,24,43,16,01:25.7,85681
67,24,44,15,01:25.7,85748
67,24,45,15,01:25.3,85279
67,24,46,15,01:25.9,85948
67,24,47,15,01:25.3,85336
67,24,48,15,01:25.5,85508
67,24,49,14,01:25.9,85923
67,24,50,14,01:25.3,85278
67,24,51,14,01:25.0,85017
67,24,52,14,01:24.8,84764
67,26,1,15,01:36.5,96484
67,26,2,15,01:28.4,88379
67,26,3,15,01:27.5,87450
67,26,4,15,01:27.1,87116
67,26,5,15,01:26.9,86864
67,26,6,15,01:26.4,86415
67,26,7,15,01:26.1,86102
67,26,8,15,01:25.7,85746
67,26,9,14,01:26.0,86025
67,26,10,14,01:25.8,85824
67,26,11,14,01:26.1,86125
67,26,12,14,01:25.8,85777
67,26,13,14,01:25.5,85508
67,26,14,14,01:25.7,85724
67,26,15,13,01:25.7,85650
67,26,16,13,01:25.6,85558
67,26,17,13,01:25.8,85751
67,26,18,13,01:25.3,85277
67,26,19,13,01:25.6,85620
67,26,20,13,01:25.4,85414
67,26,21,13,01:25.1,85130
67,26,22,13,01:25.8,85825
67,26,23,13,01:25.2,85249
67,26,24,12,01:25.3,85340
67,26,25,12,01:25.9,85855
67,26,26,12,01:25.1,85147
67,26,27,12,01:25.4,85361
67,26,28,12,01:25.4,85394
67,26,29,13,01:28.1,88085
67,26,30,15,01:50.4,110370
67,26,31,14,01:29.5,89459
67,26,32,14,01:26.1,86109
67,26,33,14,01:25.7,85686
67,26,34,14,01:25.4,85440
67,26,35,14,01:25.3,85320
67,26,36,14,01:25.3,85342
67,26,37,14,01:25.6,85568
67,26,38,14,01:25.4,85372
67,26,39,14,01:25.5,85502
67,26,40,14,01:25.1,85120
67,26,41,14,01:25.9,85890
67,26,42,14,01:25.6,85611
67,26,43,14,01:25.3,85262
67,26,44,13,01:26.1,86066
67,26,45,13,01:25.4,85439
67,26,46,13,01:27.2,87245
67,26,47,13,01:25.4,85369
67,26,48,13,01:25.6,85643
67,26,49,13,01:25.7,85687
67,26,50,13,01:25.1,85094
67,26,51,13,01:25.3,85344
67,26,52,13,01:25.6,85563
67,11,1,22,01:43.9,103861
67,11,2,22,01:27.0,86981
67,11,3,22,01:27.2,87238
67,11,4,22,01:29.5,89482
67,11,5,21,01:27.2,87236
67,11,6,21,01:26.9,86949
67,11,7,21,01:27.0,86988
67,11,8,21,01:26.6,86626
67,11,9,20,01:26.6,86588
67,11,10,20,01:26.6,86582
67,11,11,20,01:26.3,86298
67,11,12,20,01:26.5,86540
67,11,13,20,01:26.4,86367
67,11,14,20,01:26.0,86032
67,11,15,20,01:25.7,85676
67,11,16,20,01:25.8,85783
67,11,17,20,01:26.4,86375
67,11,18,20,01:25.8,85772
67,11,19,19,01:26.3,86256
67,11,20,19,01:26.1,86079
67,11,21,18,01:26.2,86202
67,11,22,18,01:25.8,85793
67,11,23,18,01:27.1,87116
67,11,24,18,01:27.7,87704
67,11,25,18,01:31.0,91002
67,11,26,18,01:55.1,115112
67,11,27,18,01:31.2,91239
67,11,28,18,01:28.6,88568
67,11,29,18,01:31.1,91148
67,11,30,18,01:28.9,88906
67,11,31,18,01:29.9,89878
67,11,32,18,01:28.5,88506
67,11,33,18,01:29.6,89636
67,11,34,18,01:30.1,90082
67,11,35,18,01:29.2,89212
67,11,36,18,01:29.8,89831
67,11,37,18,01:29.2,89205
67,11,38,18,01:28.9,88920
67,11,39,18,01:28.6,88563
67,11,40,18,01:29.5,89539
67,11,41,18,01:34.3,94346
67,11,42,18,01:29.0,89044
67,11,43,18,01:29.6,89599
67,11,44,16,01:28.7,88700
67,11,45,16,01:29.2,89238
67,11,46,16,01:29.6,89624
67,11,47,16,01:28.2,88160
67,11,48,16,01:30.1,90082
67,11,49,16,01:27.9,87910
67,11,50,16,01:28.9,88882
67,11,51,16,01:29.9,89887
67,29,1,19,01:38.3,98291
67,29,2,21,01:30.5,90482
67,29,3,21,01:29.0,88995
67,29,4,21,01:29.6,89556
67,29,5,22,01:29.0,88968
67,29,6,22,01:27.6,87569
67,29,7,22,01:27.5,87454
67,29,8,22,01:26.8,86808
67,29,9,21,01:27.2,87210
67,29,10,21,01:26.7,86706
67,29,11,21,01:28.7,88659
67,29,12,21,01:28.0,88003
67,29,13,21,01:27.4,87367
67,29,14,21,01:26.8,86849
67,29,15,21,01:26.5,86548
67,29,16,21,01:27.0,86963
67,29,17,21,01:27.2,87239
67,29,18,21,01:32.6,92643
68,4,1,1,01:48.4,108445
68,4,2,1,01:45.2,105236
68,4,3,1,01:44.8,104824
68,4,4,1,01:44.9,104873
68,4,5,1,01:44.7,104747
68,4,6,1,01:45.2,105194
68,4,7,1,01:44.9,104936
68,4,8,1,01:44.9,104850
68,4,9,1,01:44.8,104752
68,4,10,1,01:45.1,105070
68,4,11,1,01:44.9,104916
68,4,12,1,01:44.7,104658
68,4,13,1,01:44.7,104681
68,4,14,1,01:44.6,104599
68,4,15,1,01:44.8,104772
68,4,16,1,01:48.4,108447
68,4,17,1,01:45.3,105259
68,4,18,1,01:45.2,105188
68,4,19,1,01:44.8,104827
68,4,20,1,01:45.4,105443
68,4,21,1,01:44.4,104405
68,4,22,1,01:48.5,108478
68,4,23,2,02:08.9,128893
68,4,24,1,01:46.3,106346
68,4,25,1,01:46.9,106912
68,4,26,1,01:47.2,107213
68,4,27,1,01:47.1,107143
68,4,28,1,01:47.7,107655
68,4,29,1,01:46.1,106108
68,4,30,2,01:45.8,105765
68,4,31,3,01:45.6,105626
68,4,32,3,01:44.0,103970
68,4,33,3,01:43.8,103802
68,4,34,3,01:43.4,103370
68,4,35,3,01:47.1,107115
68,4,36,6,02:21.3,141257
68,4,37,5,01:43.8,103777
68,4,38,4,01:41.5,101512
68,4,39,4,01:41.2,101220
68,4,40,4,01:41.0,101039
68,4,41,3,01:40.5,100521
68,4,42,3,01:39.4,99400
68,4,43,3,01:39.2,99163
68,4,44,3,01:39.2,99157
68,4,45,3,01:38.5,98525
68,4,46,3,01:38.4,98443
68,4,47,3,01:38.4,98412
68,4,48,2,01:38.4,98353
68,4,49,2,01:37.6,97586
68,4,50,2,01:38.7,98658
68,4,51,2,01:37.7,97740
68,4,52,2,01:37.6,97623
68,4,53,2,01:37.7,97700
68,4,54,2,01:38.8,98840
68,4,55,2,01:43.2,103174
68,4,56,2,01:45.3,105250
68,21,1,2,01:51.1,111138
68,21,2,2,01:46.5,106490
68,21,3,2,01:46.2,106177
68,21,4,2,01:45.7,105688
68,21,5,2,01:45.4,105380
68,21,6,2,01:45.3,105307
68,21,7,2,01:45.9,105949
68,21,8,2,01:45.7,105723
68,21,9,2,01:46.2,106241
68,21,10,2,01:46.4,106381
68,21,11,2,01:46.7,106732
68,21,12,2,01:46.9,106930
68,21,13,3,01:47.4,107443
68,21,14,3,01:46.3,106330
68,21,15,3,01:46.7,106676
68,21,16,3,01:45.8,105772
68,21,17,2,01:45.1,105115
68,21,18,2,01:45.3,105258
68,21,19,2,01:45.0,104977
68,21,20,2,01:44.5,104500
68,21,21,2,01:44.5,104462
68,21,22,2,01:44.2,104164
68,21,23,1,01:47.3,107337
68,21,24,2,02:04.3,124324
68,21,25,2,01:46.1,106110
68,21,26,2,01:43.6,103555
68,21,27,2,01:44.0,103952
68,21,28,2,01:45.1,105085
68,21,29,2,01:46.2,106200
68,21,30,1,01:44.3,104270
68,21,31,1,01:42.3,102253
68,21,32,1,01:42.0,101960
68,21,33,1,01:41.7,101742
68,21,34,1,01:41.3,101322
68,21,35,1,01:41.4,101374
68,21,36,1,01:43.7,103673
68,21,37,1,01:42.7,102738
68,21,38,1,01:42.5,102494
68,21,39,1,01:42.1,102085
68,21,40,1,01:42.0,102000
68,21,41,1,01:46.7,106715
68,21,42,2,02:09.9,129862
68,21,43,2,01:42.8,102814
68,21,44,2,01:41.4,101416
68,21,45,2,01:40.5,100545
68,21,46,2,01:41.0,100996
68,21,47,2,01:40.9,100880
68,21,48,3,01:42.0,102023
68,21,49,3,01:39.9,99948
68,21,50,3,01:40.0,100024
68,21,51,3,01:39.9,99882
68,21,52,3,01:41.2,101178
68,21,53,3,01:39.3,99332
68,21,54,3,01:43.0,103035
68,21,55,3,01:52.5,112511
68,21,56,3,02:00.5,120476
68,8,1,3,01:52.0,111972
68,8,2,3,01:46.3,106346
68,8,3,3,01:46.4,106448
68,8,4,3,01:45.9,105912
68,8,5,3,01:45.8,105787
68,8,6,3,01:45.4,105426
68,8,7,3,01:45.7,105716
68,8,8,3,01:45.9,105882
68,8,9,3,01:45.9,105934
68,8,10,3,01:46.0,106014
68,8,11,3,01:46.5,106516
68,8,12,3,01:46.8,106753
68,8,13,2,01:44.9,104921
68,8,14,2,01:44.1,104094
68,8,15,2,01:44.3,104287
68,8,16,2,01:48.4,108425
68,8,17,5,02:08.4,128356
68,8,18,4,01:45.8,105825
68,37,1,7,01:55.9,115852
68,37,2,7,01:48.2,108200
68,37,3,7,01:47.2,107183
68,37,4,7,01:46.8,106833
68,37,5,7,01:47.3,107280
68,37,6,7,01:47.0,107021
68,37,7,7,01:47.0,107006
68,37,8,7,01:47.1,107127
68,37,9,7,01:47.2,107222
68,37,10,7,01:47.0,106954
68,37,11,7,01:47.0,107000
68,37,12,7,01:46.7,106689
68,37,13,7,01:46.7,106650
68,37,14,7,01:46.2,106161
68,37,15,6,01:46.4,106384
68,37,16,6,01:46.3,106259
68,37,17,6,01:50.3,110330
68,37,18,8,02:07.3,127339
68,37,19,7,01:46.7,106681
68,37,20,8,01:47.5,107504
68,37,21,8,01:47.8,107847
68,37,22,7,01:46.7,106689
68,37,23,8,01:47.5,107507
68,37,24,8,01:45.7,105675
68,37,25,7,01:44.9,104900
68,37,26,7,01:44.4,104373
68,37,27,7,01:43.9,103912
68,37,28,7,01:43.8,103765
68,37,29,7,01:44.4,104406
68,37,30,6,01:43.6,103617
68,37,31,6,01:42.6,102611
68,37,32,6,01:42.6,102624
68,37,33,6,01:41.7,101690
68,37,34,6,01:42.6,102598
68,37,35,6,01:41.5,101528
68,37,36,5,01:46.6,106590
68,37,37,8,02:25.0,144992
68,37,38,8,01:43.0,102996
68,37,39,8,01:41.0,101025
68,37,40,7,01:44.3,104284
68,37,41,7,01:41.4,101372
68,37,42,7,01:41.1,101079
68,37,43,7,01:39.7,99741
68,37,44,7,01:39.7,99709
68,37,45,7,01:39.1,99149
68,37,46,7,01:39.9,99884
68,37,47,7,01:40.2,100174
68,37,48,7,01:39.4,99429
68,37,49,6,01:40.5,100460
68,37,50,6,01:39.4,99448
68,37,51,6,01:39.9,99871
68,37,52,6,01:39.8,99791
68,37,53,6,01:40.2,100175
68,37,54,7,01:44.1,104090
68,37,55,7,01:50.5,110537
68,37,56,5,01:59.7,119671
68,30,1,6,01:54.9,114851
68,30,2,6,01:48.0,108023
68,30,3,6,01:47.2,107186
68,30,4,6,01:46.9,106921
68,30,5,6,01:47.5,107482
68,30,6,6,01:46.9,106942
68,30,7,6,01:46.9,106936
68,30,8,5,01:46.5,106465
68,30,9,5,01:45.3,105323
68,30,10,5,01:45.1,105131
68,30,11,5,01:45.3,105291
68,30,12,5,01:45.2,105201
68,30,13,4,01:46.5,106549
68,30,14,4,01:44.8,104833
68,30,15,4,01:44.5,104531
68,30,16,4,01:44.7,104713
68,30,17,3,01:44.8,104793
68,30,18,3,01:44.5,104475
68,30,19,3,01:44.7,104700
68,30,20,3,01:44.6,104633
68,30,21,3,01:48.8,108828
68,30,22,3,02:05.4,125385
68,30,23,3,01:43.9,103874
68,30,24,3,01:43.5,103501
68,30,25,3,01:45.3,105309
68,30,26,3,01:43.4,103382
68,30,27,3,01:43.5,103535
68,30,28,3,01:45.0,105025
68,30,29,3,01:45.9,105854
68,30,30,3,01:45.2,105229
68,30,31,2,01:42.5,102498
68,30,32,2,01:42.4,102388
68,30,33,2,01:42.2,102171
68,30,34,2,01:41.7,101650
68,30,35,2,01:41.0,100997
68,30,36,2,01:42.3,102308
68,30,37,2,01:42.9,102874
68,30,38,2,01:42.0,102004
68,30,39,2,01:42.1,102093
68,30,40,2,01:46.9,106850
68,30,41,2,02:03.2,123163
68,30,42,1,01:40.4,100384
68,30,43,1,01:40.4,100404
68,30,44,1,01:40.8,100837
68,30,45,1,01:39.3,99280
68,30,46,1,01:42.1,102071
68,30,47,1,01:39.9,99894
68,30,48,1,01:38.8,98752
68,30,49,1,01:38.7,98693
68,30,50,1,01:38.6,98553
68,30,51,1,01:38.8,98751
68,30,52,1,01:39.7,99665
68,30,53,1,01:38.6,98578
68,30,54,1,01:39.9,99874
68,30,55,1,01:44.4,104375
68,30,56,1,01:48.7,108739
68,13,1,16,02:03.7,123685
68,13,2,17,01:51.2,111185
68,13,3,17,01:50.3,110293
68,13,4,17,01:48.5,108492
68,13,5,17,01:48.7,108694
68,13,6,17,01:48.4,108393
68,13,7,17,01:50.5,110499
68,13,8,17,01:47.8,107825
68,13,9,16,01:49.1,109059
68,13,10,15,01:49.2,109163
68,13,11,14,01:48.9,108899
68,13,12,13,01:48.5,108501
68,13,13,13,01:46.3,106303
68,13,14,12,01:46.7,106721
68,13,15,12,01:45.7,105702
68,13,16,12,01:46.3,106295
68,13,17,12,01:47.5,107481
68,13,18,11,01:46.8,106757
68,13,19,10,01:45.1,105100
68,13,20,9,01:46.5,106457
68,13,21,9,01:45.8,105842
68,13,22,8,01:45.4,105364
68,13,23,7,01:45.9,105883
68,13,24,7,01:43.2,103189
68,13,25,6,01:43.2,103156
68,13,26,5,01:43.0,102962
68,13,27,5,01:43.1,103146
68,13,28,5,01:43.4,103395
68,13,29,5,01:48.5,108468
68,13,30,10,02:08.7,128668
68,13,31,9,01:44.3,104262
68,13,32,9,01:44.3,104278
68,13,33,9,01:42.5,102548
68,13,34,9,01:47.9,107941
68,13,35,9,02:11.3,131286
68,13,36,9,01:45.3,105276
68,13,37,9,01:42.7,102689
68,13,38,9,01:41.9,101910
68,13,39,9,01:40.7,100684
68,13,40,9,01:48.8,108829
68,13,41,9,01:39.9,99850
68,13,42,9,01:39.4,99397
68,13,43,9,01:41.1,101087
68,13,44,9,01:40.8,100781
68,23,1,15,02:03.1,123053
68,23,2,16,01:51.2,111155
68,23,3,16,01:50.3,110278
68,23,4,16,01:48.5,108503
68,23,5,16,01:48.6,108603
68,23,6,16,01:48.5,108463
68,23,7,16,01:49.8,109790
68,23,8,16,01:48.5,108488
68,23,9,17,01:50.0,110020
68,23,10,17,01:49.6,109578
68,23,11,17,01:49.9,109933
68,23,12,17,01:49.4,109407
68,23,13,17,01:49.6,109594
68,23,14,17,01:49.3,109285
68,23,15,17,01:48.4,108420
68,23,16,17,01:47.4,107353
68,23,17,17,01:46.8,106834
68,23,18,17,01:46.7,106719
68,23,19,16,01:46.7,106725
68,23,20,14,01:46.5,106480
68,23,21,14,01:45.5,105529
68,23,22,14,01:46.4,106397
68,23,23,14,01:45.5,105495
68,23,24,15,01:49.7,109690
68,23,25,18,02:27.3,147288
68,23,26,17,01:58.1,118074
68,23,27,18,01:57.5,117491
68,23,28,18,01:52.3,112340
68,23,29,17,01:52.3,112324
68,23,30,17,01:46.2,106243
68,23,31,17,01:45.3,105280
68,23,32,17,01:44.2,104175
68,23,33,17,01:41.7,101656
68,23,34,16,01:45.2,105194
68,23,35,16,01:42.5,102463
68,23,36,16,01:40.4,100396
68,23,37,16,01:41.6,101551
68,23,38,16,01:40.3,100342
68,23,39,15,01:44.0,104046
68,23,40,15,01:43.3,103343
68,23,41,14,01:40.9,100870
68,23,42,14,01:41.0,101017
68,23,43,14,01:40.1,100107
68,23,44,14,01:41.0,100958
68,23,45,13,01:40.2,100224
68,23,46,13,01:43.1,103129
68,23,47,13,01:39.8,99823
68,23,48,12,01:41.7,101685
68,23,49,14,01:55.7,115694
68,15,1,14,02:02.5,122480
68,15,2,14,01:50.7,110676
68,15,3,15,01:50.0,110013
68,15,4,15,01:48.9,108869
68,15,5,15,01:48.8,108804
68,15,6,15,01:48.6,108617
68,15,7,15,01:49.1,109118
68,15,8,15,01:49.3,109257
68,15,9,15,01:49.7,109659
68,15,10,16,01:50.0,109958
68,15,11,16,01:49.9,109873
68,15,12,16,01:49.3,109300
68,15,13,16,01:49.8,109764
68,15,14,16,01:49.5,109467
68,15,15,16,01:48.1,108133
68,15,16,16,01:47.3,107310
68,15,17,16,01:47.0,107017
68,15,18,16,01:46.7,106676
68,15,19,15,01:46.7,106728
68,15,20,13,01:46.5,106475
68,15,21,13,01:45.3,105292
68,15,22,13,01:46.7,106653
68,15,23,13,01:45.4,105438
68,15,24,13,01:44.8,104787
68,15,25,12,01:49.8,109750
68,15,26,15,02:26.5,146455
68,15,27,16,02:01.6,121606
68,15,28,17,02:00.9,120922
68,15,29,19,02:03.0,123027
68,15,30,19,01:57.7,117745
68,15,31,19,01:56.6,116639
